shape_id,shape_pt_sequence,shape_pt_lon,shape_pt_lat
00001,101,17.792109975872,46.353548509466
00001,102,17.791997713946,46.353556748841
00001,103,17.791874801062,46.353569016626
00001,104,17.791764713654,46.353588526386
00001,105,17.790533630815,46.353830034397
00001,106,17.790030320678,46.353926273607
00001,107,17.789847722567,46.353955727333
00001,108,17.789125233779,46.354047901338
00001,109,17.788964639572,46.354074014382
00001,110,17.788908204431,46.35409116794
00001,111,17.788863841501,46.354113025062
00001,112,17.788831606396,46.35413719652
00001,113,17.788816982909,46.354172318918
00001,114,17.788815588701,46.354197326621
00001,115,17.788823219301,46.354253292392
00001,116,17.788841695853,46.354296867583
00001,117,17.788852745867,46.354345491058
00001,118,17.788852427547,46.354394057942
00001,119,17.788835024789,46.354443910239
00001,120,17.788800743643,46.354486193693
00001,121,17.788767570424,46.354515767001
00001,122,17.788726469454,46.354537027872
00001,123,17.788656172381,46.354556557026
00001,124,17.788610571233,46.354561811776
00001,125,17.78856266686,46.354561347299
00001,126,17.788511719356,46.35455206257
00001,127,17.78846100584,46.354532728949
00001,128,17.788401737681,46.354497133077
00001,129,17.788313996858,46.354428745245
00001,130,17.788250307719,46.354408634035
00001,131,17.788180794532,46.354394502699
00001,132,17.788105413088,46.354388248565
00001,133,17.788027399532,46.354390399794
00001,134,17.787941921661,46.354399215448
00001,135,17.787764066217,46.354434131142
00001,136,17.787333349087,46.354551272288
00001,137,17.787161058202,46.354591310109
00001,138,17.787073777513,46.354607766583
00001,139,17.786900267063,46.354630428725
00001,140,17.786557831286,46.354653240357
00001,141,17.786476392656,46.354662943554
00001,142,17.786398055788,46.354678937198
00001,143,17.786325210506,46.354703216143
00001,144,17.786257868258,46.3547352885
00001,145,17.786197646293,46.354775453525
00001,146,17.786147839796,46.354821709674
00001,147,17.786109293474,46.354872660606
00001,148,17.786082045052,46.354926690081
00001,149,17.786042300262,46.355029009659
00001,150,17.785959678541,46.355193829536
00001,151,17.785835186903,46.355482383586
00001,152,17.785763561623,46.355628348028
00001,153,17.785640607766,46.355850916675
00001,154,17.785627343034,46.355862506704
00001,155,17.785584375046,46.355928871825
00001,156,17.78545990251,46.356146854443
00001,157,17.785424686116,46.356263844854
00001,158,17.785347137313,46.356454728454
00001,159,17.785368131292,46.356494747618
00001,160,17.785368131292,46.356494747618
00001,161,17.785335387991,46.35647097456
00001,162,17.785257559839,46.356569423461
00001,163,17.785053762561,46.356949801797
00001,164,17.784901538992,46.357277828728
00001,165,17.784915115722,46.357287680761
00001,166,17.784909113742,46.357301249855
00001,167,17.784650347577,46.357809432227
00001,168,17.784549221834,46.35803589932
00001,169,17.784483737455,46.358196833324
00001,170,17.784378834878,46.358480614751
00001,171,17.784299454342,46.358714846238
00001,172,17.784171649134,46.359214021176
00001,173,17.783985131248,46.35982739239
00001,174,17.783962915918,46.359943895467
00001,175,17.783943088725,46.360131980681
00001,176,17.78392180267,46.360208709933
00001,177,17.783913469234,46.360217754291
00001,178,17.783913469234,46.360217754291
00001,179,17.783738665188,46.360399182787
00001,180,17.783665791995,46.360563266952
00001,181,17.783465760793,46.360955142294
00001,182,17.783402176271,46.361104007154
00001,183,17.783337791264,46.361287094325
00001,184,17.783192030885,46.361754577141
00001,185,17.783105662776,46.362009324636
00001,186,17.782939707741,46.362437148007
00001,187,17.782913093559,46.362533217459
00001,188,17.78287831624,46.362631022925
00001,189,17.782838701118,46.362727298045
00001,190,17.782742565657,46.36291333257
00001,191,17.782698806067,46.363013145974
00001,192,17.782600724666,46.363317035223
00001,193,17.782512912989,46.363563823363
00001,194,17.782469244528,46.363659701462
00001,195,17.782421145928,46.363736621796
00001,196,17.782383737249,46.36377324515
00001,197,17.782325987841,46.363811327301
00001,198,17.782247338858,46.36384003726
00001,199,17.782163334364,46.363854629046
00001,200,17.78207158268,46.363853177978
00001,201,17.781813995931,46.363822734053
00001,202,17.781639189024,46.363795327301
00001,203,17.78145076507,46.363759754347
00001,204,17.78145076507,46.363759754347
00001,205,17.781429714363,46.363756847033
00001,206,17.781348248851,46.363732385354
00001,207,17.781231530634,46.363687143696
00001,208,17.781153297042,46.363663421059
00001,209,17.781066862407,46.363643050508
00001,210,17.780618810203,46.363560277918
00001,211,17.780349212991,46.363522526121
00001,212,17.780213091046,46.363508133685
00001,213,17.779935699986,46.363491028944
00001,214,17.779662132028,46.363484088287
00001,215,17.779266517031,46.363486037116
00001,216,17.778861849163,46.363493013924
00001,217,17.778723026061,46.363489906035
00001,218,17.77844648884,46.363471049976
00001,219,17.778215622505,46.363444342653
00001,220,17.77799555714,46.363407353464
00001,221,17.777624006775,46.363318471197
00001,222,17.777408969734,46.363274930181
00001,223,17.777308836463,46.363249974188
00001,224,17.777143667823,46.363192795601
00001,225,17.776983535234,46.363128714759
00001,226,17.776983535234,46.363128714759
00001,227,17.776900070883,46.363085740979
00001,228,17.776694170417,46.36296456046
00001,229,17.776489427445,46.362863284749
00001,230,17.776364020703,46.362807818282
00001,231,17.776230427812,46.362755071018
00001,232,17.775926648574,46.362651412759
00001,233,17.7757588273,46.362603550813
00001,234,17.775580334236,46.362560488591
00001,235,17.775399994199,46.362526894443
00001,236,17.775214565602,46.362502450635
00001,237,17.775024096319,46.362485119262
00001,238,17.774829390036,46.362475260822
00001,239,17.774632884411,46.362472832511
00001,240,17.774436208381,46.362477641836
00001,241,17.774240957791,46.362490901748
00001,242,17.774048783085,46.362511506244
00001,243,17.773858845677,46.362540570517
00001,244,17.773672802649,46.362576707486
00001,245,17.773489858466,46.362619205284
00001,246,17.773310838348,46.362667510924
00001,247,17.773134126469,46.36272125472
00001,248,17.772961336906,46.362780876663
00001,249,17.772625154734,46.362914916663
00001,250,17.771806399026,46.363259500979
00001,251,17.771172775441,46.36353750084
00001,252,17.770866744276,46.363667026851
00001,253,17.770726283319,46.363733267183
00001,254,17.770601216049,46.363801157709
00001,255,17.770489448277,46.363856194955
00001,256,17.770338496138,46.363919504423
00001,257,17.770320960076,46.36393976036
00001,258,17.770320960076,46.36393976036
00001,259,17.770334178938,46.363964722541
00001,260,17.770307133987,46.363974889574
00001,261,17.770251567702,46.363988951058
00001,262,17.770073782227,46.364019060425
00001,263,17.769984647825,46.364044339518
00001,264,17.76979462313,46.364111141987
00001,265,17.769557696447,46.364203420203
00001,266,17.768045317706,46.364818396724
00001,267,17.766908406362,46.365286703165
00001,268,17.766444213627,46.365474027988
00001,269,17.765842411572,46.365709482792
00001,270,17.765697388254,46.365762099107
00001,271,17.765554172089,46.365807003827
00001,272,17.765149636198,46.365910301414
00001,273,17.765046182664,46.365956852473
00001,274,17.764973294552,46.366016122097
00001,275,17.764935127329,46.366084151037
00001,276,17.764926890307,46.366157440623
